Date,Currency_in_circulation_Total,Other_deposits_with_RBI,Bankers_deposits_with_RBI,Reserve_Money_(Liabilities/Components),RBIs_Claims_on_Government(net),RBIs_Claims_on_Central_Govt,RBIs_Claims_on_Banks_and_Commercial_sector,RBIs_Claims_on_Banks_(Including NABARD),RBIs_claims_on_Commercial_sector_(Excluding NABARD),Net_foreign_exchange_assets_of_RBI,Govts_currency_liabilities_to_the_public,Net_non_monetary_liabilities_of_RBI
06-07-2001,234802,3980,66536,305318,166691,,16355,7894,8461,205487,5565,88780
13-07-2001,234428,3897,70531,308856,166704,,21772,11751,10021,205354,5565,90539
20-07-2001,231389,3671,69480,304540,165737,,19405,10148,9257,205404,5565,91571
27-07-2001,227989,3517,74768,306274,161554,,25340,13724,11616,205913,5640,92173
03-08-2001,229965,3526,67139,300630,164384,,16081,7750,8331,206301,5640,91776
10-08-2001,231704,3446,68572,303722,166058,,17037,8765,8272,207918,5640,92931
17-08-2001,230761,3303,71120,305184,156826,,18151,9168,8983,210125,5640,85558
24-08-2001,228439,3654,75940,308033,156133,,19647,10391,9256,211788,5720,85255
31-08-2001,225969,3709,66781,296459,147741,,15812,7658,8154,213826,5721,86641
07-09-2001,229555,3661,81591,314807,160204,,22043,12192,9851,214160,5721,87321
14-09-2001,228709,3459,73719,305887,153778,,21002,11166,9836,215833,5721,90447
21-09-2001,226789,3318,71909,302016,152030,,21626,11124,10502,214344,5805,91789
28-09-2001,224562,3470,80956,308988,160240,,20224,10804,9420,214028,5805,91309
05-10-2001,228308,3555,70903,302766,157370,,17315,9612,7703,215779,5805,93503
12-10-2001,230770,3191,74712,308673,157758,,21159,12299,8860,216706,5805,92755
19-10-2001,231864,3137,75408,310409,156545,,22924,11890,11034,216719,5889,91668
26-10-2001,232911,3248,73454,309613,156006,,22505,11941,10564,216881,5889,91668
02-11-2001,234143,3171,79894,317208,163404,,22780,12334,10446,218609,5889,93474
09-11-2001,239967,2981,64353,307301,152334,,19517,10198,9319,222083,5889,92522
16-11-2001,244132,2736,72678,319546,164082,,18659,10841,7818,223086,5889,92170
23-11-2001,241263,3079,64633,308975,149977,,20519,11167,9352,223954,5889,91364
30-11-2001,238985,2911,76692,318588,163101,,17330,9593,7737,224988,5993,92824
07-12-2001,243099,2494,65313,310906,151316,,21753,11817,9936,225375,5993,93531
14-12-2001,243131,2826,68934,314891,155689,,19347,10100,9247,228990,5993,95128
21-12-2001,241420,2470,67612,311502,146861,,23185,12581,10604,229647,5993,94184
28-12-2001,239470,2519,72521,314510,147984,,25121,14292,10829,232111,6077,96783
04-01-2002,241182,2609,64947,308738,149004,,19977,11046,8931,233211,6077,99531
11-01-2002,243561,2424,65027,311012,151758,,16665,9056,7609,236751,6077,100239
18-01-2002,243595,2384,67047,313026,148559,,20175,11190,8985,237634,6077,99419
25-01-2002,241564,2298,73556,317418,152460,,19131,11247,7884,238092,6155,98420
01-02-2002,241017,2640,68254,311911,146543,,18037,10128,7909,240510,6155,99334
08-02-2002,246327,2216,75639,324182,155765,,21381,13184,8197,242142,6155,101261
15-02-2002,247949,2316,65541,315806,146293,,20901,12171,8730,244458,6155,102001
22-02-2002,247583,2322,70345,320250,151350,,19611,11775,7836,245612,6238,102561
01-03-2002,247209,2507,73643,323359,150596,,21838,11983,9855,247330,6238,102643
08-03-2002,251853,2199,68446,322498,152148,,16965,10045,6920,250706,6238,103559
15-03-2002,252836,2492,74591,329919,152179,,21562,12723,8839,254176,6238,104236
22-03-2002,251605,2704,67791,322100,141768,,17869,10904,6965,259973,6366,103876
29-03-2002,251519,3033,78904,333456,147175,,19528,11168,8360,264208,6366,103821
31-03-2002,250974,,84147,337952,,,,,,,,
05-04-2002,254992,2645,64940,322577,144036,,10973,7776,3197,266420,6366,105219
12-04-2002,260052,2344,70850,333246,153725,,12356,8857,3499,267992,6366,107194
19-04-2002,260992,2360,80657,344009,160102,,16754,11292,5462,269146,6383,108376
26-04-2002,260781,2525,73542,336848,155562,,14157,9734,4423,270858,6383,110113
03-05-2002,264456,2212,79054,345722,161069,,17757,11825,5932,272347,6383,111835
10-05-2002,269553,2373,73664,345590,163054,,14760,10215,4545,272799,6383,111407
17-05-2002,270333,2316,77375,350024,169065,,14652,9696,4956,272290,6383,112366
24-05-2002,269058,2249,79532,350840,169699,,13658,9621,4037,273476,6383,112377
31-05-2002,267324,2272,69023,338618,159701,,10512,7418,3094,275234,6459,113288
07-06-2002,271722,2077,68604,342403,164653,,9737,6744,2993,276026,6459,114473
14-06-2002,271376,2371,71321,345068,166991,,9801,6821,2980,277079,6459,115263
21-06-2002,268480,3883,69538,341901,163492,,9725,6804,2921,279143,6459,116919
28-06-2002,265607,3238,60275,329120,147966,,10140,7221,2919,283248,6534,118768
05-07-2002,267650,3792,71830,343272,164117,,9486,6552,2934,283136,6534,120001
12-07-2002,267900,4017,78807,350724,169412,,9660,6731,2929,286681,6534,121563
19-07-2002,264721,3617,64462,332800,148552,,9598,6672,2926,290495,6534,122379
26-07-2002,260990,3778,76947,341714,155332,,9675,6750,2925,291371,6666,121329
02-08-2002,260087,3629,68198,331913,144182,,8723,5807,2916,292554,6666,120211
09-08-2002,262988,3551,75325,341863,154137,,8662,5724,2938,292093,6666,119693
16-08-2002,262810,3515,70090,336415,136984,,8802,5882,2920,294555,6666,110592
23-08-2002,260622,3571,72258,336451,134207,,8658,5732,2926,296132,6728,109274
30-08-2002,257898,3500,62474,323872,119616,,9171,6241,2930,298402,6728,110046
06-09-2002,261136,3509,81730,346375,140632,,9408,6482,2926,301133,6728,111527
13-09-2002,262192,3526,68346,334064,127529,,9472,6413,3059,300446,6728,110111
20-09-2002,259706,3479,72726,335911,128187,,9357,6430,2927,302867,6790,111289
27-09-2002,256885,3314,78072,338272,129580,,9731,6747,2984,303419,6790,111249
04-10-2002,259132,3913,71515,334560,124113,,9320,6348,2972,305860,6790,111524
11-10-2002,264918,3284,69902,338104,124869,,9717,6762,2955,308931,6790,112203
18-10-2002,265903,3262,66637,335802,120553,,9804,6698,3106,310029,6851,111435
25-10-2002,263661,3309,72192,339162,125351,,9552,6641,2911,309754,6851,112347
01-11-2002,266399,3189,86679,356267,142511,,9462,6520,2942,312335,6661,114702
08-11-2002,275815,3024,65778,344618,128410,,9334,6391,2943,315551,6851,115529
